	Genes	Counts	log2_value
0	AT1G01010	182	7.507794640198696
1	AT1G01020	164	7.357552004618084
2	AT1G01030	26	4.700439718141092
3	AT1G01040	2493	11.283667167491501
4	AT1G01050	1805	10.817783121774534
5	AT1G01060	5	2.321928094887362
6	AT1G01070	107	6.7414669864011465
7	AT1G01080	1132	10.144658242831882
8	AT1G01090	6033	12.558659867026508
9	AT1G01100	1089	10.088788238716907
10	AT1G01110	32	5.0
11	AT1G01120	142	7.149747119504682
12	AT1G01130	37	5.20945336562895
13	AT1G01140	4743	12.211584153079526
14	AT1G01150	1	0.0
15	AT1G01160	1089	10.088788238716907
16	AT1G01170	2347	11.196602126523171
17	AT1G01180	701	9.453270634010623
18	AT1G01190	1	0.0
19	AT1G01200	1	0.0
20	AT1G01210	137	7.098032082960526
21	AT1G01220	396	8.62935662007961
22	AT1G01225	4	2.0
23	AT1G01230	649	9.342074667999139
24	AT1G01240	819	9.677719641641009
25	AT1G01250	14	3.807354922057604
26	AT1G01260	560	9.129283016944967
27	AT1G01280	1	0.0
28	AT1G01290	204	7.672425341971495
29	AT1G01300	1124	10.134426320220927
30	AT1G01305	1	0.0
31	AT1G01310	2	1.0
32	AT1G01320	10790	13.39740724437538
33	AT1G01335	1	0.0
34	AT1G01340	550	9.103287808412022
35	AT1G01350	547	9.095397022792557
36	AT1G01355	28	4.807354922057604
37	AT1G01360	338	8.400879436282183
38	AT1G01370	2	1.0
39	AT1G01380	1	0.0
40	AT1G01390	205	7.679480099505446
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	184	7.523561956057013
44	AT1G01430	738	9.527477006060396
45	AT1G01440	591	9.207014320177532
46	AT1G01450	607	9.245552706255681
47	AT1G01453	4	2.0
48	AT1G01460	1	0.0
49	AT1G01470	1489	10.5401280385821
50	AT1G01480	3	1.584962500721156
51	AT1G01490	4396	12.101975670949232
52	AT1G01500	436	8.768184324776927
53	AT1G01510	618	9.271463027904375
54	AT1G01520	1	0.0
55	AT1G01530	1	0.0
56	AT1G01540	1757	10.778898476008376
57	AT1G01550	5199	12.344018439881326
58	AT1G01560	73	6.189824558880018
59	AT1G01570	11	3.4594316186372973
60	AT1G01580	28	4.807354922057604
61	AT1G01590	4	2.0
62	AT1G01600	9	3.169925001442312
63	AT1G01610	382	8.577428828035748
64	AT1G01620	4494	12.133784409179908
65	AT1G01630	279	8.124121311829187
66	AT1G01640	111	6.794415866350106
67	AT1G01650	1258	10.296916206879288
68	AT1G01660	21	4.392317422778761
69	AT1G01670	69	6.108524456778169
70	AT1G01680	11	3.4594316186372973
