	Genes	Counts	log2_value
0	AT1G01010	133	7.05528243550119
1	AT1G01020	146	7.189824558880018
2	AT1G01030	10	3.321928094887362
3	AT1G01040	1019	9.992938336165814
4	AT1G01050	685	9.419960177847889
5	AT1G01060	387	8.59618975614441
6	AT1G01070	217	7.7615512324444795
7	AT1G01080	495	8.951284714966972
8	AT1G01090	1372	10.422064766172813
9	AT1G01100	582	9.184875342908283
10	AT1G01110	23	4.523561956057013
11	AT1G01120	1895	10.887982133058454
12	AT1G01130	6	2.584962500721156
13	AT1G01140	2241	11.129926933510394
14	AT1G01150	1	0.0
15	AT1G01160	325	8.344295907915816
16	AT1G01170	592	9.20945336562895
17	AT1G01180	387	8.59618975614441
18	AT1G01190	4	2.0
19	AT1G01200	5	2.321928094887362
20	AT1G01210	73	6.189824558880018
21	AT1G01220	409	8.67595703294175
22	AT1G01225	13	3.700439718141092
23	AT1G01230	382	8.577428828035748
24	AT1G01240	951	9.893301530860564
25	AT1G01250	60	5.906890595608519
26	AT1G01260	373	8.543031820255237
27	AT1G01280	1	0.0
28	AT1G01290	170	7.409390936137702
29	AT1G01300	390	8.60733031374961
30	AT1G01305	1	0.0
31	AT1G01310	1	0.0
32	AT1G01320	4157	12.021327032624372
33	AT1G01335	1	0.0
34	AT1G01340	330	8.366322214245816
35	AT1G01350	240	7.906890595608519
36	AT1G01355	16	4.0
37	AT1G01360	268	8.066089190457772
38	AT1G01370	8	3.0
39	AT1G01380	2	1.0
40	AT1G01390	166	7.3750394313469245
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	301	8.233619676759702
44	AT1G01430	853	9.73640193131829
45	AT1G01440	615	9.264442600226602
46	AT1G01450	130	7.022367813028454
47	AT1G01453	7	2.807354922057604
48	AT1G01460	1	0.0
49	AT1G01470	2354	11.200898605038445
50	AT1G01480	6	2.584962500721156
51	AT1G01490	828	9.693486957499324
52	AT1G01500	228	7.832890014164741
53	AT1G01510	271	8.08214904135387
54	AT1G01520	30	4.906890595608519
55	AT1G01530	4	2.0
56	AT1G01540	754	9.558420713268664
57	AT1G01550	3931	11.940680648424093
58	AT1G01560	316	8.303780748177102
59	AT1G01570	18	4.169925001442312
60	AT1G01580	30	4.906890595608519
61	AT1G01590	23	4.523561956057013
62	AT1G01600	3	1.584962500721156
63	AT1G01610	376	8.554588851677638
64	AT1G01620	1166	10.187352073200497
65	AT1G01630	1004	9.971543553950772
66	AT1G01640	21	4.392317422778761
67	AT1G01650	791	9.627533884472792
68	AT1G01660	21	4.392317422778761
69	AT1G01670	99	6.6293566200796095
70	AT1G01680	240	7.906890595608519
71	AT1G01690	42	5.392317422778761
72	AT1G01695	4	2.0
73	AT1G01700	42	5.392317422778761
74	AT1G01710	634	9.308339030139408
75	AT1G01715	17	4.087462841250339
76	AT1G01720	163	7.348728154231077
77	AT1G01725	107	6.7414669864011465
78	AT1G01730	314	8.294620748891628
79	AT1G01740	117	6.870364719583405
80	AT1G01750	12	3.584962500721156
81	AT1G01760	32	5.0
82	AT1G01770	204	7.672425341971495
83	AT1G01780	71	6.149747119504682
84	AT1G01790	3709	11.85681455250301
85	AT1G01800	1132	10.144658242831882
86	AT1G01810	7	2.807354922057604
87	AT1G01820	865	9.756556322524087
88	AT1G01830	424	8.727920454563199
89	AT1G01840	13	3.700439718141092
90	AT1G01860	99	6.6293566200796095
91	AT1G01880	11	3.4594316186372973
92	AT1G01900	14	3.807354922057604
93	AT1G01910	529	9.047123912114026
94	AT1G01920	203	7.6653359171851765
95	AT1G01930	191	7.577428828035749
96	AT1G01940	91	6.507794640198696
97	AT1G01950	260	8.022367813028454
98	AT1G01960	1629	10.669770888525518
99	AT1G01970	255	7.994353436858858
100	AT1G01980	1	0.0
101	AT1G01990	327	8.353146825498083
102	AT1G02000	148	7.20945336562895
103	AT1G02010	129	7.011227255423254
104	AT1G02020	369	8.527477006060396
105	AT1G02030	2	1.0
106	AT1G02040	2	1.0
107	AT1G02050	47	5.554588851677638
108	AT1G02060	83	6.3750394313469245
109	AT1G02065	1	0.0
110	AT1G02067	1	0.0
111	AT1G02070	2	1.0
112	AT1G02080	2692	11.394462694610317
113	AT1G02090	296	8.20945336562895
114	AT1G02100	410	8.679480099505446
115	AT1G02110	129	7.011227255423254
116	AT1G02120	1670	10.705632387361415
117	AT1G02130	467	8.867278739709661
118	AT1G02140	795	9.634811050171718
119	AT1G02145	343	8.422064766172813
120	AT1G02150	845	9.722807531169547
121	AT1G02160	97	6.599912842187128
122	AT1G02170	781	9.60917873814198
123	AT1G02180	24	4.584962500721156
124	AT1G02190	2	1.0
125	AT1G02205	47	5.554588851677638
126	AT1G02210	1	0.0
127	AT1G02220	119	6.894817763307944
128	AT1G02230	48	5.584962500721156
129	AT1G02250	1	0.0
130	AT1G02260	308	8.266786540694902
131	AT1G02270	653	9.350939181546432
132	AT1G02280	209	7.7073591320808825
133	AT1G02290	143	7.159871336778389
134	AT1G02300	731	9.513727595952437
135	AT1G02305	1758	10.779719355143405
136	AT1G02310	2	1.0
137	AT1G02320	1	0.0
138	AT1G02330	350	8.451211111832329
139	AT1G02335	27	4.754887502163468
140	AT1G02340	207	7.693486957499325
