Entry Entry name Gene names_(primary_)
Q9LKL2 APRR1_ARATH APRR1 618 Two-component_response_regulator-like
A8MQN2 LNK1_ARATH LNK1 616 Protein_LNK1_(Night
F4JCX9 LNK2_ARATH LNK2 663 Protein_LNK2_(Night
Q10CH5 PIL13_ORYSJ PIL13 410 Transcription_factor_PHYTOCHROME
Q9SNB4 PCL1_ARATH LUX 323 Transcription_factor_LUX
Q69T51 LYP6_ORYSJ LYP6 409 LysM_domain-containing_GPI-anchored
Q67UE8 LYP4_ORYSJ LYP4 401 LysM_domain-containing_GPI-anchored
Q6LA43 APRR2_ARATH APRR2 535 Two-component_response_regulator-like
Q9FJ16 APRR4_ARATH APRR4 292 Putative_two-component_response
Q9C9F6 APRR6_ARATH APRR6 755 Putative_two-component_response
P07052 PRR2_TOBAC 226 Pathogenesis-related protein_R_minor
P13046 PRR1_TOBAC 226 Pathogenesis-related protein_R_major
